word,translation,tag
a,"第一个字母 A; 一个; 第一的\r\nart. [计] 累加器, 加法器, 地址, 振幅, 模拟, 区域, 面积, 汇编, 组件, 异步",gaokao
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵\nn. 放任, 无拘束, 狂热",gaokao
ability,"n. 能力, 才干\n[经] 能力, 才能",gaokao
able,"a. 能干的, 能够的",gaokao
abnormal,"a. 反常的, 不规则的, 变态的, 畸形的\nn. 畸形的人",gaokao
aboard,"adv. 在船上, 在火车上, 在飞机上\nprep. 在...之上",gaokao
abolish,"vt. 废止, 革除, 消灭\n[经] 废除, 取消, 裁撤",gaokao
abortion,"n. 流产, 堕胎, 失败, 夭折, 中止\n[医] 流产, 小产; 顿挫",gaokao
about,"prep. 在...周围, 大约, 有关, 关于\nadv. 大约, 四处, 在附近, 周围",gaokao
above,"prep. 在上方, 超出\nadv. 在上面\na. 上述的, 上面的",gaokao
abroad,"adv. 往国外, 到室外, 到处\na. 往国外的, 在室外的, 广泛四散的",gaokao
abrupt,"a. 突然的, 唐突的, 陡峭的, 不连贯的",gaokao
absence,"n. 缺席, 缺乏, 没有\n[医] 失神",gaokao
absent,"a. 缺席的, 不在的, 缺乏的, 漫不经心的\nvt. 使缺席",gaokao
absolute,"a. 绝对的, 专制的, 完全的, 独立的\nn. 绝对事物",gaokao
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担\n[医] 吸收",gaokao
abstract,"a. 抽象的, 深奥的\nn. 摘要, 抽象概念\nvt. 摘要, 提炼, 使抽象化\n[计] 摘录; 摘要; 抽象",gaokao
absurd,"a. 荒谬的, 不合理的, 可笑的\nn. 荒诞",gaokao
abundant,"a. 丰富的, 充分的, 大量的",gaokao
abuse,"n. 滥用, 虐待, 恶习, 辱骂\nvt. 滥用, 辱骂, 虐待",gaokao
academic,"a. 学院的, 学术的, 不切实际的\nn. 大学生, 大学教师, 学者, 学会会员",gaokao
academy,"n. 学院, 院校, 学会",gaokao
accelerate,"v. 加速, 促进",gaokao
accent,"n. 重音, 口音, 特点, 注重点\nvt. 重读, 加重音号于, 强调",gaokao
accept,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍\nvi. 同意",gaokao
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作\nvt. 访问, 存取, 接近, 使用\n[计] 访问, 存取",gaokao
accessible,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的",gaokao
accident,"n. 意外事件, 机遇, 事故, 次要方面\n[化] 意外事故; 事故",gaokao
accommodation,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款\n[医] 调节(眼); 适应",gaokao
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏\nvi. 伴奏, 伴唱",gaokao
accomplish,"vt. 完成, 达到, 实现, 使完美",gaokao
account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目\nvi. 报帐, 解释, 导致, 报偿, 占, 杀死\nvt. 认为\n[计] 帐户, 帐号",gaokao
accountant,"n. 会计人员, 会计师\n[经] 会计师, 会计人员",gaokao
accumulate,"v. 积聚, 堆积",gaokao
accuracy,"n. 精确, 正确\n[计] 准确度",gaokao
accuse,"vt. 指责, 控告, 归咎于\nvi. 指责, 控告",gaokao
accustomed,"a. 惯常的, 习惯了的",gaokao
ache,"n. 疼痛\nvi. 痛, 哀怜, 渴望",gaokao
achieve,"vt. 完成, 达到\nvi. 如愿以偿",gaokao
achievement,"n. 完成, 成就, 功业",gaokao
acid,"n. 酸, 酸类物质, 尖刻, 迷幻药\na. 酸的, 酸性的, 尖刻的, 敏锐的\n[计] 自动文档互参与索引生成程序",gaokao
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿\n[经] 承认, 答谢, 收到的通知",gaokao
acquaintance,"n. 认识, 相识者",gaokao
acquire,"vt. 获得, 学到\n[电] 目标锁定",gaokao
acquisition,"n. 获得, 获得物\n[经] 收购, 招揽, 取得",gaokao
acre,n. 英亩,gaokao
across,"prep. 越过, 穿过, 与...相交叉, 在...的对面\nadv. 交叉, 到另一边, 在对面, 成十字",gaokao
act,"n. 行动, 行为, 幕, 法案\nvi. 行动, 表演, 假装, 见效, 表现, 担当\nvt. 扮演, 装作\n[计] 先进通信技术, 先进计算机工艺, 自动代码翻译技术",gaokao
action,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼\nvt. 对...起诉\n[计] 方式",gaokao
active,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的\nn. 主动语态, 积极分子",gaokao
